lon,lat,x_sea_water_velocity,y_sea_water_velocity
138.47624,37.554108,0.25596777,0.31507865
138.48671,37.564262,0.25720128,0.30929378
138.49721,37.57415,0.25771615,0.29771748
138.50774,37.583515,0.26077676,0.27321872
138.51828,37.591824,0.256106,0.22795017
138.52847,37.598656,0.2393676,0.1822994
138.53787,37.604156,0.21460524,0.14882116
138.54619,37.608734,0.18574955,0.1288821
138.55325,37.61283,0.15235111,0.12224494
138.55865,37.616863,0.098872714,0.12793276
138.5618,37.621426,0.040303905,0.16227888
138.56277,37.627224,-0.003205585,0.20646301
138.56224,37.634434,-0.029182957,0.24814786
138.56104,37.64301,-0.03111599,0.2911598
138.56026,37.652996,0.000413529,0.33600375
138.56067,37.664368,0.025724936,0.37599126
138.56221,37.676983,0.058401678,0.41014642
138.56529,37.690678,0.10434584,0.44250956
138.57031,37.70532,0.15428011,0.46628308
138.57751,37.72054,0.2144081,0.47475028
138.58705,37.73572,0.26382592,0.45391303
138.59834,37.749928,0.29820478,0.41275585
138.61075,37.76279,0.31340188,0.37100232
138.62357,37.774387,0.31502602,0.33547476
138.63628,37.784904,0.3036595,0.30558354
138.64839,37.79446,0.28460327,0.2762368
138.65959,37.80292,0.25606203,0.23473601
138.66957,37.810066,0.22440529,0.19504115
138.67792,37.81608,0.17003204,0.1691724
138.68398,37.8215,0.11161542,0.16354571
138.6877,37.826977,0.057147764,0.17812297
138.68935,37.833084,0.012767635,0.20589423
138.68942,37.840153,-0.01643063,0.23768115
138.68845,37.848408,-0.035627488,0.28272673
138.6871,37.858078,-0.028153066,0.32377478
138.6864,37.8689,5.60E-05,0.35058886
138.68674,37.88057,0.021572616,0.3758303
138.68799,37.89304,0.045604795,0.39857644
138.69058,37.905872,0.09382137,0.39071256
138.69496,37.91846,0.12792772,0.38273707
138.70042,37.93114,0.14298412,0.40442452
138.70682,37.94458,0.1771538,0.4308704
138.71477,37.958656,0.22134234,0.4402679
138.72446,37.97283,0.26269683,0.43307295
138.73576,37.986683,0.2992094,0.41818228
138.74854,38,0.3339002,0.39839897
